Year,Country,gdp_growth,gdp_ppp_billions,population_millions,gdp_per_capita_ppp,inflation_rate
1980,Thailand,4.6,75.722,47.374,1598.364,19.7
1980,Indonesia,9.9,163.519,147.49,1108.676,18
1980,Malaysia,7.4,42.296,13.885,3046.042,6.7
1980,Philippines,5.1,85.411,47.88,1783.865,18.2
1980,Vietnam,-3.5,31.438,54.18,580.243,25.2
1980,World,2.2,13230.769,3997.712,3380.466,17.2
1981,Thailand,5.9,87.784,48.326,1816.495,12.7
1981,Indonesia,7.6,192.601,150.406,1280.542,12.2
1981,Malaysia,6.9,49.511,14.229,3479.714,9.7
1981,Philippines,3.4,96.693,49.089,1969.751,13.1
1981,Vietnam,5.8,36.407,55.31,658.233,69.6
1981,World,2.3,14822.861,4071.152,3712.703,15
1982,Thailand,5.4,98.198,49.256,1993.635,5.3
1982,Indonesia,2.2,209.096,153.379,1363.269,9.5
1982,Malaysia,5.9,55.694,14.592,3816.79,5.8
1982,Philippines,3.6,106.384,50.318,2114.246,9
1982,Vietnam,8.2,41.807,56.4,741.262,95.4
1982,World,0.8,15819.354,4146.639,3891.684,14.3
1983,Thailand,5.6,107.739,50.174,2147.307,3.9
1983,Indonesia,4.2,226.395,156.41,1447.441,11.8
1983,Malaysia,6.3,61.492,14.955,4111.783,3.7
1983,Philippines,1.9,112.622,51.586,2183.192,5.3
1983,Vietnam,7.1,46.526,57.47,809.567,49.5
1983,World,2.7,16855.736,4220.699,4074.544,13.4
1984,Thailand,5.8,118.057,51.095,2310.547,0.9
1984,Indonesia,7.6,252.333,159.502,1582.002,10.5
1984,Malaysia,7.8,68.657,15.328,4479.036,3.9
1984,Philippines,-7.3,108.141,52.864,2045.639,46.7
1984,Vietnam,8.4,52.253,58.57,892.146,64.9
1984,World,4.6,18244.922,4295.448,4334.668,14
1985,Thailand,4.6,127.445,52.027,2449.596,2.3
1985,Indonesia,3.9,270.479,162.655,1662.898,4.7
1985,Malaysia,-0.9,70.208,15.823,4437.077,2.6
1985,Philippines,-7.3,103.409,54.172,1908.902,23.2
1985,Vietnam,5.6,56.935,59.71,953.517,91.6
1985,World,3.7,19498.544,4373.09,4551.963,13.7
1986,Thailand,5.5,137.205,52.98,2589.753,1.8
1986,Indonesia,7.2,295.759,165.87,1783.078,5.8
1986,Malaysia,1.2,72.447,16.257,4456.368,0.4
1986,Philippines,3.4,109.096,55.49,1966.042,-0.3
1986,Vietnam,3.4,60.031,60.92,985.401,453.5
1986,World,3.4,20538.633,4452.642,4709.715,11.7
1987,Thailand,9.5,153.99,53.946,2854.52,2.6
1987,Indonesia,6.6,323.008,169.149,1909.607,9.3
1987,Malaysia,5.4,78.242,16.681,4690.602,0.7
1987,Philippines,4.3,116.62,56.877,2050.372,3
1987,Vietnam,2.5,63.086,62.3,1012.621,360.4
1987,World,3.9,21864.139,4533.512,4916.964,14.5
1988,Thailand,13.3,180.604,54.892,3290.2,3.8
1988,Indonesia,7,357.737,172.492,2073.928,8.1
1988,Malaysia,9.9,89.051,17.094,5209.387,0.3
1988,Philippines,6.8,128.885,58.165,2215.83,12.2
1988,Vietnam,5.1,68.642,63.5,1080.975,374.4
1988,World,4.5,23631.405,4614.67,5223.436,19.1
1989,Thailand,12.2,210.572,55.772,3775.574,5.5
1989,Indonesia,9.1,405.538,175.902,2305.48,6.4
1989,Malaysia,9.1,100.928,17.508,5764.603,2.6
1989,Philippines,6.2,142.25,59.553,2388.643,11.4
1989,Vietnam,7.8,76.898,64.774,1187.17,95.8
1989,World,3.7,25441.64,4848.164,5524.41,22
1990,Thailand,11.6,243.843,56.558,4311.361,5.8
1990,Indonesia,9,458.588,179.379,2556.535,7.8
1990,Malaysia,9,114.136,18.267,6248.062,3
1990,Philippines,3,152.056,60.94,2495.169,13.2
1990,Vietnam,5,83.802,67.513,1241.276,36
1990,World,3.2,27449.189,4963.561,5730.412,25.4
1991,Thailand,8.4,273.273,57.232,4774.786,5.8
1991,Indonesia,8.9,516.429,182.354,2832.017,9.4
1991,Malaysia,9.5,129.262,18.547,6969.363,4.3
1991,Philippines,-0.4,156.513,62.36,2509.827,19.4
1991,Vietnam,5.8,91.669,68.766,1333.055,81.8
1991,World,2.5,29023.833,5110.033,5958.635,16.8
1992,Thailand,9.2,305.298,57.811,5280.969,4
1992,Indonesia,6.5,562.651,185.378,3035.156,7.5
1992,Malaysia,8.9,143.956,19.068,7549.815,4.8
1992,Philippines,0.4,160.748,63.82,2518.775,8.6
1992,Vietnam,8.7,101.915,70.002,1455.904,37.7
1992,World,2.2,33067.741,5257.246,6297.17,39.3
1993,Thailand,8.7,339.649,58.338,5822.111,3.4
1993,Indonesia,8,621.811,188.452,3299.565,9.7
1993,Malaysia,9.9,161.951,19.602,8262.177,3.5
1993,Philippines,2.2,168.149,65.32,2574.227,6.8
1993,Vietnam,8.1,112.759,71.223,1583.18,8.4
1993,World,1.9,34478.305,5347.619,6463.653,39.8
1994,Thailand,8,374.644,58.875,6363.349,5.1
1994,Indonesia,7.5,682.975,191.578,3565.002,8.5
1994,Malaysia,9.2,180.646,20.142,8968.744,3.7
1994,Philippines,4.4,179.251,66.84,2681.785,12.5
1994,Vietnam,8.8,125.34,72.43,1730.507,10.4
1994,World,3.1,36214.812,5431.272,6683.926,30.7
1995,Thailand,8.1,413.558,59.467,6954.381,5.8
1995,Indonesia,8.2,754.611,194.755,3874.674,9.4
1995,Malaysia,9.8,202.562,20.682,9794.221,3.5
1995,Philippines,4.6,191.473,68.41,2798.902,6.9
1995,Vietnam,9.5,140.177,73.627,1903.867,16.9
1995,World,3.3,38313.247,5524.238,6952.483,16.2
1996,Thailand,5.7,444.932,60.13,7399.476,5.8
1996,Indonesia,7.8,828.503,197.004,4205.51,8
1996,Malaysia,10,226.902,21.223,10691.533,3.5
1996,Philippines,5.9,206.405,71.9,2870.724,8.3
1996,Vietnam,9.3,156.075,74.815,2086.155,5.6
1996,World,3.9,40490.76,5611.549,7233.663,9.5
1997,Thailand,-2.8,440.141,60.847,7233.626,5.6
1997,Indonesia,4.7,882.4,199.28,4427.95,6.2
1997,Malaysia,7.3,247.727,21.769,11379.672,2.7
1997,Philippines,5.2,220.854,73.53,3003.588,5.6
1997,Vietnam,8.2,171.709,75.991,2259.592,3.1
1997,World,4,42873.882,5691.682,7542.134,6.6
1998,Thailand,-7.6,411.11,61.585,6675.484,8
1998,Indonesia,-13.1,775.186,201.581,3845.525,58.4
1998,Malaysia,-7.4,232.077,22.334,10391.437,5.3
1998,Philippines,-0.5,222.188,75.36,2948.356,9.4
1998,Vietnam,5.8,183.649,77.167,2379.903,7.2
1998,World,2.6,44493.152,5814.521,7645.774,6.3
1999,Thailand,4.6,435.991,62.299,6998.41,0.2
1999,Indonesia,0.8,792.374,203.909,3885.913,20.5
1999,Malaysia,6.1,249.791,22.91,10903.39,2.7
1999,Philippines,3.3,232.873,76.99,3024.713,6.2
1999,Vietnam,4.8,195.138,78.333,2491.143,4.1
1999,World,3.6,46689.242,5900.942,7916.856,6.2
2000,Thailand,4.5,465.732,63.008,7391.647,1.7
2000,Indonesia,5,850.667,206.265,4124.152,3.7
2000,Malaysia,8.7,277.599,23.495,11815.27,1.6
2000,Philippines,4.4,248.585,76.95,3230.47,6.5
2000,Vietnam,6.8,213.103,79.395,2684.087,-1.8
2000,World,4.8,50197.239,5979.987,8366.806,5
2001,Thailand,3.4,492.62,63.651,7739.377,1.6
2001,Indonesia,3.6,901.512,209.206,4309.204,11.5
2001,Malaysia,0.5,285.318,24.123,11827.447,1.4
2001,Philippines,3,261.932,78.61,3332.049,5.4
2001,Vietnam,6.9,232.925,80.469,2894.591,-0.3
2001,World,2.5,52578.136,6079.124,8649.457,4.7
2002,Thailand,6.1,531.038,64.266,8263.064,0.7
2002,Indonesia,4.5,956.715,212.19,4508.776,11.9
2002,Malaysia,5.4,305.373,24.727,12349.735,1.8
2002,Philippines,3.7,275.888,80.27,3437.004,2.8
2002,Vietnam,7.1,253.293,81.534,3106.582,4.1
2002,World,2.8,54868.994,6158.8,8883.135,3.8
2003,Thailand,7.2,580.453,64.868,8948.194,1.8
2003,Indonesia,4.8,1022.241,215.216,4749.843,6.8
2003,Malaysia,5.8,329.428,25.32,13010.584,1.1
2003,Philippines,5.1,295.646,81.91,3609.402,2.2
2003,Vietnam,7.3,277.256,82.302,3368.774,3.3
2003,World,3.8,57990.92,6264.905,9255.769,3.9
2004,Thailand,6.3,633.549,65.452,9679.589,2.8
2004,Indonesia,5,1102.538,218.285,5050.913,6.1
2004,Malaysia,6.8,361.231,25.905,13944.394,1.4
2004,Philippines,6.6,323.54,83.55,3872.407,4.8
