"Year","Country","gdp_growth","gdp_ppp_billions","population_millions","gdp_per_capita_ppp","inflation_rate","co2","co2_per_capita","carbon_intensity","prev_year_co2","co2_growth_yoy","decoupling_status"
1980,Indonesia,9.9,163.519,147.49,1108.676,18.0,94.85385132,0.636814415,0.5800784699025802,,,No Decoupling
1981,Indonesia,7.6,192.601,150.406,1280.542,12.2,100.2723007,0.657587826,0.5206219111011885,94.85385132,5.71241895252124,Relative Decoupling
1982,Indonesia,2.2,209.096,153.379,1363.269,9.5,105.5545883,0.676405847,0.5048140007460689,100.2723007,5.26794295445941,Relative Decoupling
1983,Indonesia,4.2,226.395,156.41,1447.441,11.8,105.1491013,0.65861696,0.4644497506570375,105.5545883,-0.3841490990875362,Absolute Decoupling
1984,Indonesia,7.6,252.333,159.502,1582.002,10.5,112.4197311,0.688630641,0.44552131944692136,105.1491013,6.914590529172701,Relative Decoupling
1985,Indonesia,3.9,270.479,162.655,1662.898,4.7,121.5480042,0.728809178,0.44938055893433504,112.4197311,8.119814031471195,Relative Decoupling
1986,Indonesia,7.2,295.759,165.87,1783.078,5.8,122.1089096,0.717548788,0.4128662512383393,121.5480042,0.46146821059856613,Relative Decoupling
1987,Indonesia,6.6,323.008,169.149,1909.607,9.3,123.8127136,0.713572025,0.38331160095106004,122.1089096,1.3953150557000722,Relative Decoupling
1988,Indonesia,7.0,357.737,172.492,2073.928,8.1,132.6492462,0.750044942,0.37080102477518395,123.8127136,7.13701553182015,Relative Decoupling
1989,Indonesia,9.1,405.538,175.902,2305.48,6.4,131.5860596,0.730215669,0.32447282276876643,132.6492462,-0.8015021799648905,Absolute Decoupling
1990,Indonesia,9.0,458.588,179.379,2556.535,7.8,154.9906921,0.844630837,0.3379737195478294,131.5860596,17.786559283822488,Relative Decoupling
1991,Indonesia,8.9,516.429,182.354,2832.017,9.4,174.7542267,0.935624123,0.3383896463986337,154.9906921,12.75143321977592,Relative Decoupling
1992,Indonesia,6.5,562.651,185.378,3035.156,7.5,199.2980194,1.048695445,0.35421250366568263,174.7542267,14.044749110494609,Relative Decoupling
1993,Indonesia,8.0,621.811,188.452,3299.565,9.7,214.9628448,1.112038851,0.34570447418910244,199.2980194,7.860000539473506,Relative Decoupling
1994,Indonesia,7.5,682.975,191.578,3565.002,8.5,219.1999512,1.115000367,0.32094871876715836,214.9628448,1.9710877960989786,Relative Decoupling
1995,Indonesia,8.2,754.611,194.755,3874.674,9.4,222.225296,1.111748695,0.29448987094012674,219.1999512,1.3801758547106828,Relative Decoupling
1996,Indonesia,7.8,828.503,197.004,4205.51,8.0,252.8557434,1.244342208,0.3051959297673032,222.225296,13.78351067648033,Relative Decoupling
1997,Indonesia,4.7,882.4,199.28,4427.95,6.2,279.6956177,1.354221463,0.316971461582049,252.8557434,10.61469830152967,Relative Decoupling
1998,Indonesia,-13.1,775.186,201.581,3845.525,58.4,244.3153229,1.164366722,0.31516993715056774,279.6956177,-12.649570662186315,No Decoupling
